state,region,sat_participation_2019,ebrw_2019,math_2019,sat_total_2019,sat_participation_2018,ebrw_2018,math_2018,sat_total_2018,sat_participation_2017,ebrw_2017,math_2017,sat_total_2017,act_participation_2019,act_composite_2019,act_participation_2018,act_composite_2018,act_participation_2017,act_composite_2017,sat_diff_1819,sat_diff_1718,act_diff_1819,act_diff_1718,ave_sat_participation,ave_act_participation
New Mexico,West,18.0,543,530,1073,16.0,552,540,1093,11.0,577,561,1138,63.0,19.3,67.0,19.4,66.0,19.7,2.0,5.0,-4.0,1.0,15.0,65.333
New York,Northeast,79.0,531,533,1064,79.0,534,534,1068,67.0,528,523,1052,22.0,24.5,27.0,24.5,31.0,24.2,0.0,12.0,-5.0,-4.0,75.0,26.667
North Carolina,South,51.0,554,546,1100,52.0,554,543,1098,49.0,546,535,1081,100.0,19.0,100.0,19.1,100.0,19.1,-1.0,3.0,0.0,0.0,50.667,100.0
North Dakota,Midwest,2.0,627,636,1263,2.0,640,643,1283,2.0,635,621,1256,96.0,19.9,98.0,20.3,98.0,20.3,0.0,0.0,-2.0,0.0,2.0,97.333
Ohio,Midwest,19.0,550,548,1097,18.0,552,547,1099,12.0,578,570,1149,100.0,20.0,100.0,20.3,75.0,22.0,1.0,6.0,0.0,25.0,16.333,91.667
Oklahoma,South,22.0,490,472,963,8.0,541,521,1062,7.000000000000001,530,517,1047,100.0,18.9,100.0,19.3,100.0,19.4,14.0,0.9999999999999991,0.0,0.0,12.333,100.0
Oregon,West,51.0,562,550,1112,48.0,564,553,1117,43.0,560,548,1108,42.0,21.1,42.0,21.3,40.0,21.8,3.0,5.0,0.0,2.0,47.333,41.333
Pennsylvania,Northeast,70.0,545,537,1082,70.0,547,539,1086,65.0,540,531,1071,17.0,23.6,20.0,23.5,23.0,23.7,0.0,5.0,-3.0,-3.0,68.333,20.0
Rhode Island,Northeast,100.0,503,492,995,97.0,513,505,1018,71.0,539,524,1062,12.0,24.7,15.0,24.2,21.0,24.0,3.0,26.0,-3.0,-6.0,89.333,16.0
South Carolina,South,68.0,526,504,1030,55.00000000000001,547,523,1070,50.0,543,521,1064,78.0,18.8,100.0,18.3,100.0,18.7,12.999999999999993,5.000000000000007,-22.0,0.0,57.667,92.667
South Dakota,Midwest,3.0,633,635,1268,3.0,622,618,1240,3.0,612,603,1216,75.0,21.6,77.0,21.9,80.0,21.8,0.0,0.0,-2.0,-3.0,3.0,77.333
Tennessee,South,7.000000000000001,618,602,1220,6.0,624,607,1231,5.0,623,604,1228,100.0,19.4,100.0,19.6,100.0,19.8,1.0000000000000009,1.0,0.0,0.0,6.0,100.0
Texas,South,68.0,515,507,1022,66.0,520,512,1032,62.0,513,507,1020,39.0,20.5,45.0,20.7,45.0,20.7,2.0,4.0,-6.0,0.0,65.333,43.0
Utah,West,4.0,614,615,1230,4.0,480,530,1010,3.0,624,614,1238,100.0,20.3,100.0,20.4,100.0,20.3,0.0,1.0,0.0,0.0,3.667,100.0
Vermont,Northeast,66.0,560,546,1106,64.0,565,554,1120,60.0,562,551,1114,20.0,24.1,24.0,24.1,28.999999999999996,23.6,2.0,4.0,-4.0,-4.9999999999999964,63.333,24.333
Virginia,South,68.0,567,551,1119,68.0,567,550,1117,65.0,561,541,1102,21.0,24.0,24.0,23.9,28.999999999999996,23.8,0.0,3.0,-3.0,-4.9999999999999964,67.0,24.667
Washington,West,70.0,539,535,1074,69.0,543,538,1081,64.0,541,534,1075,24.0,22.1,24.0,22.2,28.999999999999996,21.9,1.0,5.0,0.0,-4.9999999999999964,67.667,25.667
West Virginia,South,99.0,483,460,943,28.000000000000004,513,486,999,14.000000000000002,558,528,1086,49.0,20.8,65.0,20.3,69.0,20.4,71.0,14.000000000000002,-16.0,-4.0,47.0,61.0
Wisconsin,Midwest,3.0,635,648,1283,3.0,641,653,1294,3.0,642,649,1291,100.0,20.3,100.0,20.5,100.0,20.5,0.0,0.0,0.0,0.0,3.0,100.0
Wyoming,West,3.0,623,615,1238,3.0,633,625,1257,3.0,626,604,1230,100.0,19.8,100.0,20.0,100.0,20.2,0.0,0.0,0.0,0.0,3.0,100.0
